City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Cloudiness Numberical,Wind Speed,Country,Date
60,nar'yan-mar,67.6713,53.087,12.38,93,overcast clouds,100,11.36,RU,2025-03-06 15:15:44
61,udachny,66.4167,112.4,-12.59,100,overcast clouds,100,3.11,RU,2025-03-06 15:15:45
62,puerto aysen,-45.4,-72.7,57.25,96,light rain,100,4.21,CL,2025-03-06 15:15:46
63,lihue,21.9789,-159.3672,74.79,88,light rain,75,12.66,US,2025-03-06 15:15:47
64,cadale,2.7603,46.3222,79.75,88,overcast clouds,95,14.23,SO,2025-03-06 15:15:48
65,lompoc,34.6391,-120.4579,51.69,76,overcast clouds,100,13.8,US,2025-03-06 15:13:03
66,isafjordur,66.0755,-23.124,29.55,92,snow,100,2.62,IS,2025-03-06 15:15:50
67,jiuquan,39.7432,98.5174,34.45,31,few clouds,22,6.69,CN,2025-03-06 15:15:51
68,vorgashor,67.5833,63.95,-14.21,100,broken clouds,83,4.36,RU,2025-03-06 15:15:52
69,cumana,10.4635,-64.1775,81.88,68,scattered clouds,49,14.45,VE,2025-03-06 15:15:53
70,bilibino,68.0546,166.4372,-29.33,100,overcast clouds,89,2.93,RU,2025-03-06 15:15:55
71,port mathurin,-19.6833,63.4167,81.61,80,scattered clouds,26,24.29,MU,2025-03-06 15:15:56
72,north cowichan,48.8413,-123.686,51.67,72,broken clouds,63,5.14,CA,2025-03-06 15:15:57
73,pitimbu,-7.4706,-34.8086,81.64,76,broken clouds,69,13.2,BR,2025-03-06 15:15:58
74,bredasdorp,-34.5322,20.0403,67.06,78,clear sky,2,2.68,ZA,2025-03-06 15:15:59
75,pizhou,34.3114,117.9503,38.88,65,overcast clouds,100,5.41,CN,2025-03-06 15:16:00
76,cidreira,-30.1811,-50.2056,79.29,79,clear sky,0,16.13,BR,2025-03-06 15:14:54
77,turpan,42.9333,89.1667,41.05,34,clear sky,1,2.44,CN,2025-03-06 15:16:02
78,kapuskasing,49.4169,-82.4331,13.84,93,light snow,100,11.48,CA,2025-03-06 15:16:03
79,blackmans bay,-43.0167,147.3167,50.52,90,clear sky,3,1.01,AU,2025-03-06 15:16:05
80,port hedland,-20.3167,118.5667,80.65,100,broken clouds,75,6.91,AU,2025-03-06 15:16:06
81,prince rupert,54.3161,-130.3201,42.89,87,light rain,100,9.22,CA,2025-03-06 15:16:07
82,punta alta,-38.8759,-62.0736,77.2,77,overcast clouds,100,9.84,AR,2025-03-06 15:16:08
83,sauk rapids,45.5919,-94.1661,39.18,60,broken clouds,75,9.22,US,2025-03-06 15:16:09
84,bella union,-30.2752,-57.6007,94.42,33,broken clouds,80,12.48,UY,2025-03-06 15:16:10
85,gulf shores,30.246,-87.7008,65.43,31,clear sky,0,13.8,US,2025-03-06 15:13:03
86,salinopolis,-0.6136,-47.3561,78.73,86,overcast clouds,100,4.5,BR,2025-03-06 15:16:12
87,tomatlan,19.9333,-105.25,85.73,42,clear sky,1,11.77,MX,2025-03-06 15:16:14
88,tarrafal,15.2833,-23.7667,69.19,68,few clouds,16,19.75,CV,2025-03-06 15:16:15
89,qaqortoq,60.7167,-46.0333,10.45,88,clear sky,8,1.68,GL,2025-03-06 15:16:16
90,langepas,61.2544,75.2124,17.47,94,light snow,100,14.79,RU,2025-03-06 15:16:17
91,slave lake,55.2834,-114.769,36.75,78,clear sky,10,10.45,CA,2025-03-06 15:15:03
92,uporovo,56.3109,66.2693,13.66,96,overcast clouds,95,7.27,RU,2025-03-06 15:16:19
93,egilsstadir,65.2653,-14.3948,26.64,83,scattered clouds,28,1.59,IS,2025-03-06 15:16:20
94,punta arenas,-53.15,-70.9167,50.11,62,clear sky,0,8.05,CL,2025-03-06 15:14:18
95,new norfolk,-42.7826,147.0587,51.71,98,few clouds,11,2.68,AU,2025-03-06 15:16:24
96,al karamah,31.9522,35.5792,65.53,48,light rain,55,7.4,JO,2025-03-06 15:16:25
97,odda,60.0691,6.5457,40.44,99,overcast clouds,100,8.63,NO,2025-03-06 15:16:26
98,metro,-5.1131,105.3067,74.41,90,heavy intensity rain,100,5.46,ID,2025-03-06 15:16:27
99,lionel town,17.8101,-77.2406,85.69,56,clear sky,1,8.05,JM,2025-03-06 15:16:28
100,cockburn town,21.4612,-71.1419,78.48,75,clear sky,0,5.01,TC,2025-03-06 15:16:29
101,fallon,39.4735,-118.7774,35.47,95,mist,100,16.11,US,2025-03-06 15:16:31
102,devils lake,48.1128,-98.8651,31.95,57,few clouds,20,12.66,US,2025-03-06 15:12:45
103,ribeira grande,38.5167,-28.7,54.0,76,light intensity shower rain,75,15.99,PT,2025-03-06 15:16:33
104,bikin,46.8161,134.26,-1.84,99,scattered clouds,29,1.45,RU,2025-03-06 15:16:34
105,vilyuchinsk,52.9306,158.4028,7.07,78,overcast clouds,100,6.87,RU,2025-03-06 15:16:35
106,afaahiti,-17.75,-149.2833,80.31,74,overcast clouds,87,12.5,PF,2025-03-06 15:16:36
107,tsiombe,-25.3,45.4833,78.39,91,clear sky,0,2.28,MG,2025-03-06 15:16:37
108,lata,40.1629,-8.3327,50.31,95,light rain,97,3.18,PT,2025-03-06 15:16:38
109,caleta de carquin,-11.0925,-77.6267,76.98,73,broken clouds,58,10.71,PE,2025-03-06 15:16:40
110,lubango,-14.9172,13.4925,62.19,92,light rain,100,1.99,AO,2025-03-06 15:16:41
111,howard springs,-12.497,131.047,78.71,88,scattered clouds,31,4.94,AU,2025-03-06 15:16:42
112,stanley,54.868,-1.6985,53.62,57,clear sky,0,10.36,GB,2025-03-06 15:14:46
113,lebu,-37.6167,-73.65,62.35,98,moderate rain,100,12.59,CL,2025-03-06 15:16:45
114,chulakkurgan,43.765,69.1814,36.91,81,overcast clouds,100,10.85,KZ,2025-03-06 15:16:46
115,port alfred,-33.5906,26.891,71.19,93,broken clouds,83,3.0,ZA,2025-03-06 15:16:47
116,dudinka,69.4058,86.1778,11.57,96,light snow,100,3.53,RU,2025-03-06 15:16:48
117,javanrud,34.7961,46.5172,45.66,68,broken clouds,79,3.65,IR,2025-03-06 15:16:50
118,tommot,58.9564,126.2925,-11.0,99,overcast clouds,99,2.08,RU,2025-03-06 15:16:51
119,sunzha,43.3211,45.0522,41.67,63,overcast clouds,95,3.49,RU,2025-03-06 15:16:52
120,pisco,-13.7,-76.2167,80.65,61,clear sky,0,17.27,PE,2025-03-06 15:16:53
121,iskateley,67.6803,53.1512,12.54,92,overcast clouds,100,11.45,RU,2025-03-06 15:16:54
122,tokat,40.4167,36.5833,32.43,62,broken clouds,83,2.84,TR,2025-03-06 15:16:55
123,atafu village,-8.5421,-172.5159,81.73,71,few clouds,24,6.04,TK,2025-03-06 15:16:56
124,cambara,-23.0464,-50.0736,88.81,39,few clouds,11,4.03,BR,2025-03-06 15:16:57
125,kodiak,57.79,-152.4072,36.91,81,clear sky,0,3.44,US,2025-03-06 15:16:59
126,chimore,-16.9833,-65.1333,77.92,96,overcast clouds,100,3.87,BO,2025-03-06 15:17:00
127,san patricio,28.017,-97.5169,78.75,39,clear sky,3,20.18,US,2025-03-06 15:17:01
128,alotau,-10.3069,150.4462,78.22,92,overcast clouds,95,6.64,PG,2025-03-06 15:17:02
129,badger,64.8,-147.5333,32.25,70,broken clouds,75,0.0,US,2025-03-06 15:17:03
130,laojunmiao,39.8333,97.7333,27.16,26,scattered clouds,25,7.54,CN,2025-03-06 15:17:05
131,manistee,44.2445,-86.3242,32.16,65,few clouds,20,14.97,US,2025-03-06 15:17:06
132,soroti,1.7146,33.6111,80.08,36,overcast clouds,93,2.95,UG,2025-03-06 15:17:07
133,margaret river,-33.95,115.0667,65.66,89,scattered clouds,30,10.0,AU,2025-03-06 15:17:08
134,haiku-pauwela,20.9219,-156.3051,79.25,65,few clouds,20,24.0,US,2025-03-06 15:17:09
135,mareeba,-17.0,145.4333,67.19,87,clear sky,3,1.3,AU,2025-03-06 15:17:11
136,ilulissat,69.2167,-51.1,3.22,78,few clouds,20,4.61,GL,2025-03-06 15:17:12
137,manokwari,-0.8667,134.0833,76.75,83,overcast clouds,100,3.87,ID,2025-03-06 15:17:13
